id;fname;author;title
235;Baantjer - De Cock En Moord Eerste Klasse.txt;A.C. Baantjer;De Cock En Moord Eerste Klasse
236;Baantjer - De Cock En Moord In De Hondsdagen.txt;A.C. Baantjer;De Cock en moord in de hondsdagen
237;Baantjer - De Cock en moord op bestelling.txt;A.C. Baantjer;De Cock en moord op bestelling
238;Baantjer - De Cock En Moord Op De Bloedberg.txt;A.C. Baantjer;De Cock en moord op de Bloedberg
239;Baantjer - De Cock En Moord Op Termijn.txt;A.C. Baantjer;De Cock en moord op termijn
240;Baantjer - De Cock en tranen aan de Leie.txt;A.C. Baantjer;De Cock en tranen aan de Leie
241;Baantjer - Rechercheur Versteeg En De Dertien Katten.txt;A.C. Baantjer;[NL] 1987 - De dertien katten
242;Baantjer alias De Cock.txt;A.C. Baantjer;Baantjer alias De Cock
243;Baantjer en de Waal - Een dief in de nacht.txt;A.C. Baantjer & de Waal;Een dief in de nacht / druk 1
244;Baantjer en de Waal - Een Rus In De Jordaan.txt;A.C. Baantjer & de Waal;Een Rus in de Jordaan / druk 1
245;Bach, Richard - Jonathan Livingston Seagull.txt;Richard Bach;Jonathan Livingston Seagull
246;Bachman, Richard - De ontvoering.txt;Richard Bachman;De ontvoering
247;Badacci, David - Vuil Spel.txt;David Baldacci;Vuil spel / druk 1
248;Baddiel, David - Wat liefde ook maar betekent.txt;David Baddiel;Wat liefde ook maar betekent
249;Badenoch, Andrea - Leslie's wereld.txt;Andrea Badanoch;Leslie’s wereld (NL, 2002)
250;Baekelmans, Lode - Mijnheen Snepvangers.txt;Lode Baekelmans;Mijnheer Snepvangers
251;Baete, Marcella - De bondgenoot.txt;Marcella Baete;De bondgenoot
252;Bagley, Desmond - De man zonder verleden.txt;Desmond Bagley;De man zonder verleden
253;Bagley, Desmond - Grof Wild.txt;Desmond Bagley;Grof Wild
254;Bagley, Desmond - Vlucht in het verleden.txt;Desmond Bagley;Vlucht in het verleden
255;Bailey, Jenna - Het Geheime Tijdschrift.txt;Jenna Bailey;Het Geheime Tijdschrift
256;Bailly, Othillie - Morgen Mag Ik Uit De Kast.txt;Othillie Bailly;Morgen mag ik uit de kast
257;Baker, Sam - Stiefmoederscollectief.txt;Sam Baker;Stiefmoederscollectief
258;Balci, Erdal - Vandaag geen pont.txt;Erdal Balci;Vandaag geen pont
259;Baldacci, David - De rechtvaardigen.txt;David Baldacci;De rechtvaardigen / druk 1
260;Baldacci, David - De verraders.txt;David Baldacci;De verraders / druk 1
261;Baldacci, David - Duister Lot.txt;David Baldacci;Duister lot / druk 1
262;Baldacci, David - familieverraad.txt;David Baldacci;Familieverraad / druk 1
263;Baldacci, David - Geniaal Geheim.txt;David Baldacci;Geniaal geheim / druk 1
264;Baldacci, David - In het geheim.txt;David Baldacci;Nieuwe thriller / druk 1
265;Baldacci, David - Nachtreizigers.txt;David Baldacci;Nachtreizigers
266;Baldacci, David - Nachtwerk.txt;David Baldacci;Nachtwerk
267;Baldacci, David - Onbewaakt Ogenblik.txt;David Baldacci;Onbewaakt ogenblik / druk 1
268;Baldacci, David - Onder druk.txt;David Baldacci;Onder druk / druk 1
269;Baldacci, David - Rechteloos.txt;David Baldacci;Rechteloos
270;Baldacci, David - Verlos ons van het kwaad.txt;David Baldacci;Verlos ons van het kwaad
271;Ballard, J.G. - De kristallen aarde.txt;J.G. Ballard;De kristallen aarde
272;Ballard, J.G. - De verdronken aarde.txt;J.G. Ballard;De verdronken aarde
273;Barbery, Muriel - Elegant als een egel.txt;Muriel Barbery;[NL] 2007 - Elegant als een egel
274;Barclay, Linwood - Vrees Het Ergste.txt;Linwood Barclay;Vrees het ergste
275;Baricco, Alessandro - Oceaan van een zee.txt;Alessandro Baricco;[NL] 2007 - Oceaan van een zee
276;Barker , Clive - Angst.txt;Clive Barker;Angst
277;Barker, Clive - Duivelsspel.txt;Clive Barker;Duivelsspel
278;Barnas, Maria - De baadster.txt;Maria Barnas;De baadster
279;Barr, Nevada - Bloedspoor.txt;Nevada Barr;Anna Pigeon 09: Bloedspoor (NL, 2001)
280;Bartels, Dion - Palm Invest.txt;Dion Bartels & Philip Droge;Palm Invest
281;Basna, Elyesa - Ik was Cicero.txt;Elyesa Basna;Ik was Cicero
282;Bass, Jefferson - Macaber complot.txt;Jefferson Bass;Macaber complot / druk 1
283;Bauby, Jean-Dominique - Vlinders In Een Duikpak.txt;Jean-Dominique Bauby;Dominique Bauby - [NL] 1997 - Vlinders in een duikerpak
284;Bear, Greg - Eon.txt;Greg Bear;Eon
285;Beatom, M.C. - De Dodelijke Quiche.txt;M.C. Beaton;[NL] Agatha Raisin 01 (1992) - De dodelijke quiche
286;Beaumont, Charles - Wellicht een droom.txt;Charles Beaumont;Wellicht een droom
287;Beckman, Thea - Het Wonder van Frieswijck.txt;Thea Beckman;Het Wonder van Frieswijck
288;Beckman, Thea - Kruistocht In Spijkerbroek.txt;Thea Beckman;Kruistocht in Spijkerbroek
289;Beecher Stowe, Harriet - De negerhut.txt;Harriet Beecher Stowe;De Negerhut
290;Beets, Nicolaas - Camera Obscura.txt;Nicolaas Beets;Camera Obscura
291;Beevor, Antony - Kreta 1941-1945.txt;Antony Beevor;Kreta 1941-1945
292;Beijnum, Kees van - De oesters van Nam Kee.txt;Kees van Beijnum;De oesters van Nam Kee
293;Benson, Bert - Euro-5  Het volk van Arban.txt;Bert Benson;Euro-5
294;Benson, Bert - Euro-5 - Duivels uit de diepzee.txt;Bert Benson;Euro-5 - Duivels uit de diepzee
295;Berding, Frans - De Edda.txt;Frans Berding;De Edda
296;Berg, Michael - Twee zomers.txt;Michael Berg;Twee zomers / druk 1
